FindPhrase	FindPhraseID	FindPhraseStatus	FindPhraseNote	ReplacePhrase	AssignedRoleID	AssignedRole	AssignedRoleRank	JobTitleUsageCount	JobTitleSearchCount	FindPhraseScore
Unit Receptionist	37997	assignedrole		Medical Receptionist	7713	receptionist-medical	8	NULL	NULL	20
Unit Secretary	37998	assignedrole		Medical Secretary	8295	secretary-medical	1	NULL	NULL	15681
Unit Secy	37999	assignedrole		Medical Secretary	8295	secretary-medical	7	NULL	NULL	74
Unit Services Representative	38000	rolekeyword			9197	specialist-unit	10000	NULL	NULL	11
Unit Supervisor	38001	assignedrole		Department Manager	6590	manager-unit	5	NULL	NULL	172
Unit Support Associate	38002	rolekeyword			9197	specialist-unit	10000	NULL	NULL	10
Unit Tech	38003	rolekeyword			9197	specialist-unit	10000	NULL	NULL	122
Unit Technician	38004	rolekeyword			9197	specialist-unit	10000	NULL	NULL	46
United States	38005	rolemodifier			NULL		10000	NULL	NULL	85631
Unitizer	38006	assignedrole		Unitizer	10117	unitizer	1	NULL	NULL	6
Units	38007	rolemodifier	Try Unit.	Unit	NULL		10000	NULL	NULL	4312
Universal	38009	rolemodifier			NULL		10000	NULL	NULL	227030
Universal Banker	38010	assignedrole		Personal Banker	651	banker-personal	3	NULL	NULL	5024
Universal Jobs	38011	assignedrole			5105	jobs-universal	1	NULL	NULL	40243
University	38012	rolemodifier			NULL		10000	NULL	NULL	7342
University Archivist	38013	assignedrole		University Librarian	5291	librarian-college	2	NULL	NULL	9
University Dean	38014	assignedrole		University Dean	1769	dean	3	NULL	NULL	8
University Intern	38015	assignedrole		College Intern	3680	intern-college	3	NULL	NULL	50
University Internship	38016	assignedrole		College Intern	3680	intern-college	4	NULL	NULL	5
University Jobs	38017	assignedrole			5106	jobs-university	1	NULL	NULL	191711
University Librarian	38018	assignedrole		University Librarian	5291	librarian-college	1	NULL	NULL	59
University Manager	38019	assignedrole		Manager University	6592	manager-university	4	NULL	NULL	3
University President	38020	assignedrole		University President	7383	president-university	1	NULL	NULL	16
University Professor	38021	assignedrole		College Professor	7474	professor-college	2	NULL	NULL	18
University Relations	38022	rolemodifier			NULL		10000	NULL	NULL	277
University Supervisor	38024	assignedrole		Manager University	6592	manager-university	3	NULL	NULL	7
University Teacher	38025	assignedrole		College Professor	7474	professor-college	4	NULL	NULL	6
Unix	38026	rolemodifier			NULL		10000	NULL	NULL	110800
Unix Administrator	38027	assignedrole		Unix Administrator	100	administrator-unix	1	NULL	NULL	683
Unix Engineer	38028	assignedrole		Unix Administrator	100	administrator-unix	4	NULL	NULL	236
Unix Jobs	38029	assignedrole			5107	jobs-unix	1	NULL	NULL	7964
Unix System	38030	rolemodifier			NULL		10000	NULL	NULL	1147
Unix System Administrator	38031	assignedrole		Unix Administrator	100	administrator-unix	2	NULL	NULL	371
Unix System Engineer	38032	assignedrole		Unix Administrator	100	administrator-unix	6	NULL	NULL	13
Unix Systems	38034	rolemodifier			NULL		10000	NULL	NULL	867
Unix Systems Administrator	38035	assignedrole		Unix Administrator	100	administrator-unix	3	NULL	NULL	284
Unix Systems Engineer	38036	assignedrole		Unix Administrator	100	administrator-unix	5	NULL	NULL	69
Unloader	38038	assignedrole		Loader Unloader	5332	loader	2	NULL	NULL	5346
Unloaders	38039	assignedrole		Unloader	5332	loader	5	NULL	NULL	211
Unpaid	38040	rolemodifier			NULL		10000	NULL	NULL	1369
Unpaid Intern	38041	assignedrole		Internship	3653	intern	11	NULL	NULL	65
Unpaid Internship	38042	assignedrole		Unpaid Internship	3653	intern	8	NULL	NULL	243
Unracker	38043	rolekeyword			NULL		10000	NULL	NULL	2
Unrackers	38044	rolekeyword		Unracker	NULL		10000	NULL	NULL	1
Unscrambler	38045	assignedrole		Unscrambler	10118	unscrambler	1	NULL	NULL	332
Up	38046	rolemodifier			NULL		10000	NULL	NULL	406
Upfitter	38047	assignedrole		Upfitter	10119	upfitter	1	NULL	NULL	21
Upholsterer	38048	assignedrole		Upholsterer	10120	upholsterer	1	NULL	NULL	253
Upholstery	38049	rolemodifier			NULL		10000	NULL	NULL	5903
Upholstery Jobs	38050	assignedrole			5108	jobs-upholstery	1	NULL	NULL	314
Upholstery Pattern	38051	rolemodifier			NULL		10000	NULL	NULL	3
Upkeep	38052	rolemodifier			NULL		10000	NULL	NULL	54
Upper	38053	rolemodifier			NULL		10000	NULL	NULL	10081
UPS	38055	rolemodifier			NULL		10000	NULL	NULL	1655
Upsetter	38057	assignedrole		Upsetter	10121	upsetter	1	NULL	NULL	7
Upstairs	38058	rolemodifier			NULL		10000	NULL	NULL	54
UR Coordinator	38059	assignedrole		UR Coordinator	1390	clerk-ur	1	NULL	NULL	10
Urban	38060	rolemodifier			NULL		10000	NULL	NULL	21311
Urban Jobs	38061	assignedrole			5109	jobs-urban	1	NULL	NULL	689
Urban Planner	38062	assignedrole		Master Planner	7319	planner-urban	2	NULL	NULL	289
Urban Planning	38063	rolemodifier			NULL		10000	NULL	NULL	441
Urgent Care	38065	rolemodifier			NULL		10000	NULL	NULL	215257
Urgent Care Jobs	38066	assignedrole			5110	jobs-urgentcare	1	NULL	NULL	12405
Urgent Care Nurse	38067	assignedrole		RN Urgent Care	8090	rn-urgentcare	3	NULL	NULL	14
Urgent Care Physician	38068	assignedrole		Urgent Care Physician	7233	physician-urgentcare	1	NULL	NULL	278
Urgent Care RN	38069	assignedrole		RN Urgent Care	8090	rn-urgentcare	4	NULL	NULL	13
Urologist	38070	assignedrole		Urologist	10122	urologist	1	NULL	NULL	8900
Urologist Physician	38071	assignedrole		Urologist Physician	10122	urologist	4	NULL	NULL	3
Urology	38072	rolemodifier			NULL		10000	NULL	NULL	27657
Urology Jobs	38073	assignedrole			5111	jobs-urology	1	NULL	NULL	3924
Urology Nurse	38074	assignedrole		Urology Nurse	8091	rn-urology	1	NULL	NULL	8
Urology Physician	38075	assignedrole		Urologist	10122	urologist	3	NULL	NULL	7
Urology Physician Assistant	38076	assignedrole		Urology Physician Assistant	7249	physicianassistant-urology	1	NULL	NULL	7
Urology Sales Specialist	38077	assignedrole		Medical Sales Representative	8913	specialist-medicalsale	26	NULL	NULL	1
Urology Surgeon	38078	assignedrole		Urologist	10122	urologist	2	NULL	NULL	7
US	38079	rolemodifier			NULL		10000	NULL	NULL	549
Usability	38080	rolemodifier			NULL		10000	NULL	NULL	2388
Used Car	38082	rolemodifier			NULL		10000	NULL	NULL	3220
User Account	38084	rolemodifier			NULL		10000	NULL	NULL	18
User Experience	38085	rolemodifier			NULL		10000	NULL	NULL	30317
User Experience Architect	38086	assignedrole		UX Designer	1854	designer-userexperience	7	NULL	NULL	404
User Experience Designer	38087	assignedrole		UX Designer	1854	designer-userexperience	3	NULL	NULL	3233
User Experience Developer	38088	assignedrole		UX Designer	1854	designer-userexperience	10	NULL	NULL	219
User Experience Director	38089	assignedrole		Director of User Experience	2536	director-ux	4	NULL	NULL	45
User Experience Jobs	38090	assignedrole			5114	jobs-ux	3	NULL	NULL	11110
User Experience Manager	38091	assignedrole		User Experience Manager	6598	manager-ux	1	NULL	NULL	129
User Experience Researcher	38092	assignedrole		User Experience Researcher	7795	researcher-ux	1	NULL	NULL	593
User Experience Specialist	38093	assignedrole		UX Designer	1854	designer-userexperience	21	NULL	NULL	45
User Experience Supervisor	38094	assignedrole		User Experience Manager	6598	manager-ux	8	NULL	NULL	1
User Interface	38095	rolemodifier			NULL		10000	NULL	NULL	7563
User Interface Analyst	38096	assignedrole		UX Designer	1854	designer-userexperience	28	NULL	NULL	3
User Interface Designer	38097	assignedrole		UX Designer	1854	designer-userexperience	9	NULL	NULL	242
User Interface Developer	38098	assignedrole		UX Designer	1854	designer-userexperience	16	NULL	NULL	169
User Interface Engineer	38099	assignedrole		UX Designer	1854	designer-userexperience	17	NULL	NULL	114
User Interface Jobs	38100	assignedrole			5114	jobs-ux	5	NULL	NULL	635
User Interface Specialist	38101	assignedrole		UX Designer	1854	designer-userexperience	25	NULL	NULL	17
User Support	38102	rolemodifier			NULL		10000	NULL	NULL	76
User Support Jobs	38103	assignedrole			4192	jobs-desktopsupport	10	NULL	NULL	255
User Support Manager	38104	assignedrole		Technical Support Manager	5729	manager-desktopsupport	15	NULL	NULL	13
User Support Specialist	38105	assignedrole		Technical Support Specialist	9176	specialist-technicalsupport	22	NULL	NULL	121
User Support Supervisor	38106	assignedrole		Technical Support Manager	5729	manager-desktopsupport	29	NULL	NULL	1
User Support Technician	38107	assignedrole		Technical Support Specialist	9176	specialist-technicalsupport	33	NULL	NULL	20
Usher	38108	assignedrole		Usher	10124	usher	1	NULL	NULL	9424
USPS Letter	38109	rolemodifier			NULL		10000	NULL	NULL	15
Util	38110	rolemodifier	Try Utilization.	Utilization	NULL		10000	NULL	NULL	280
Utilities	38111	rolemodifier			NULL		10000	NULL	NULL	59302
Utilities Jobs	38112	assignedrole			5112	jobs-utility	2	NULL	NULL	4193
Utilities Manager	38113	assignedrole		Utilities Manager	6596	manager-utility	1	NULL	NULL	55
Utilities Supervisor	38114	assignedrole		Utilities Manager	6596	manager-utility	4	NULL	NULL	23
Utility	38115	rolemodifier			NULL		10000	NULL	NULL	20046
Utility Agent	38116	assignedrole		Utility Worker	9198	specialist-utility	9	NULL	NULL	23
Utility Associate	38117	assignedrole		Utility Worker	9198	specialist-utility	6	NULL	NULL	51
Utility Bagger	38118	assignedrole		Courtesy Clerk	1131	clerk-courtesy	4	NULL	NULL	1
Utility Clerk	38119	assignedrole		Utility Clerk	1391	clerk-utility	1	NULL	NULL	160
Utility Engineer	38120	assignedrole		Utility Engineer	3051	engineer-utility	1	NULL	NULL	110
Utility Jobs	38121	assignedrole			5112	jobs-utility	1	NULL	NULL	93451
Utility Lineman	38122	assignedrole		Utility Lineman	5322	lineman	9	NULL	NULL	10
Utility Locator	38123	assignedrole		Utility Locator	5341	locator-utility	1	NULL	NULL	267
Utility Maintenance Worker	38124	assignedrole		Utility Maintenance Worker	9199	specialist-utilitymaintenance	1	NULL	NULL	7
Utility Manager	38125	assignedrole		Utilities Manager	6596	manager-utility	5	NULL	NULL	19
Utility Operator	38126	assignedrole		Utility Worker	9198	specialist-utility	2	NULL	NULL	303
Utility Person	38127	assignedrole		Utility Worker	9198	specialist-utility	4	NULL	NULL	185
Utility Specialist	38128	assignedrole		Utility Worker	9198	specialist-utility	8	NULL	NULL	32
Utility Supervisor	38129	assignedrole		Utilities Manager	6596	manager-utility	7	NULL	NULL	13
Utility Tech	38130	assignedrole		Utility Worker	9198	specialist-utility	7	NULL	NULL	43
Utility Technician	38131	assignedrole		Utility Worker	9198	specialist-utility	3	NULL	NULL	194
Utility Worker	38132	assignedrole		Utility Worker	9198	specialist-utility	1	NULL	NULL	9233
Utility Workers	38133	assignedrole		Utility Worker	9198	specialist-utility	5	NULL	NULL	59
Utilization	38134	rolemodifier			NULL		10000	NULL	NULL	30304
Utilization Coordinator	38135	assignedrole		Utilization Review Coordinator	1392	clerk-utilization	2	NULL	NULL	40
Utilization Director	38136	assignedrole		Director Utilization Management	2535	director-utilization	7	NULL	NULL	1
Utilization Jobs	38137	assignedrole			5113	jobs-utilization	3	NULL	NULL	1827
Utilization Management	38138	rolemodifier			NULL		10000	NULL	NULL	13516
Utilization Management Coordinator	38139	assignedrole		Utilization Review Coordinator	1392	clerk-utilization	3	NULL	NULL	37
Utilization Management Jobs	38140	assignedrole			5113	jobs-utilization	1	NULL	NULL	2697
Utilization Management Manager	38141	assignedrole		Utilization Manager	6597	manager-utilization	9	NULL	NULL	3
Utilization Management Nurse	38142	assignedrole		Utilization Review Nurse	8092	rn-utilization	2	NULL	NULL	1164
Utilization Management Nurse Consultant	38143	assignedrole		Utilization Review Nurse	8092	rn-utilization	5	NULL	NULL	49
Utilization Management Nurse RN	38144	assignedrole		Utilization Review Nurse	8092	rn-utilization	11	NULL	NULL	10
Utilization Management RN	38145	assignedrole		Utilization Review Nurse	8092	rn-utilization	10	NULL	NULL	10
Utilization Management Specialist	38146	assignedrole		Utilization Review Specialist	9200	specialist-utilization	2	NULL	NULL	23
Utilization Management Supervisor	38147	assignedrole		Utilization Manager	6597	manager-utilization	7	NULL	NULL	8
Utilization Management UM	38148	rolemodifier			NULL		10000	NULL	NULL	34
Utilization Management UM Jobs	38149	assignedrole			5113	jobs-utilization	4	NULL	NULL	34
Utilization Management Um Nurse	38150	assignedrole		Utilization Review Nurse	8092	rn-utilization	7	NULL	NULL	30
Utilization Manager	38151	assignedrole		Utilization Manager	6597	manager-utilization	1	NULL	NULL	525
Utilization Review	38152	rolemodifier			NULL		10000	NULL	NULL	6140
Utilization Review Coordinator	38153	assignedrole		Utilization Review Coordinator	1392	clerk-utilization	1	NULL	NULL	83
Utilization Review Jobs	38154	assignedrole			5113	jobs-utilization	2	NULL	NULL	2687
Utilization Review Manager	38155	assignedrole		Utilization Manager	6597	manager-utilization	5	NULL	NULL	13
Utilization Review Nurse	38156	assignedrole		Utilization Review Nurse	8092	rn-utilization	1	NULL	NULL	1365
Utilization Review RN	38157	assignedrole		Utilization Review Nurse	8092	rn-utilization	8	NULL	NULL	28
Utilization Review Specialist	38158	assignedrole		Utilization Review Specialist	9200	specialist-utilization	1	NULL	NULL	57
Utilization Review Supervisor	38159	assignedrole		Utilization Manager	6597	manager-utilization	11	NULL	NULL	1
Utilization Reviewer	38160	assignedrole		Utilization Review Specialist	9200	specialist-utilization	3	NULL	NULL	10
Utilization Specialist	38161	assignedrole		Utilization Review Specialist	9200	specialist-utilization	4	NULL	NULL	4
Utilization Supervisor	38162	assignedrole		Utilization Manager	6597	manager-utilization	10	NULL	NULL	1
UX	38163	rolemodifier			NULL		10000	NULL	NULL	9489
UX Analyst	38164	assignedrole		UX Designer	1854	designer-userexperience	23	NULL	NULL	25
UX Architect	38165	assignedrole		UX Designer	1854	designer-userexperience	8	NULL	NULL	242
UX Consultant	38166	assignedrole		UX Designer	1854	designer-userexperience	18	NULL	NULL	76
UX Designer	38167	assignedrole		UX Designer	1854	designer-userexperience	1	NULL	NULL	15189
UX Developer	38168	assignedrole		UX Designer	1854	designer-userexperience	6	NULL	NULL	1008
UX Director	38169	assignedrole		Director of User Experience	2536	director-ux	3	NULL	NULL	59
UX Engineer	38170	assignedrole		UX Designer	1854	designer-userexperience	14	NULL	NULL	183
UX Interaction Designer	38171	assignedrole		UX Designer	1854	designer-userexperience	24	NULL	NULL	23
UX Jobs	38172	assignedrole			5114	jobs-ux	2	NULL	NULL	16142
UX Lead	38173	assignedrole		UX Designer	1854	designer-userexperience	19	NULL	NULL	71
UX Manager	38174	assignedrole		User Experience Manager	6598	manager-ux	2	NULL	NULL	101
UX Supervisor	38175	assignedrole		User Experience Manager	6598	manager-ux	7	NULL	NULL	1
V Belt	38176	rolemodifier			NULL		10000	NULL	NULL	49
V P	38177	rolekeyword	V. P. should be concatenated to VP.	VP	NULL		10000	NULL	NULL	182
Vaccinator	38178	assignedrole		Vaccinator	10125	vaccinator	1	NULL	NULL	44
Vaccine	38179	rolemodifier			NULL		10000	NULL	NULL	8516
Vaccine Customer Representative	38180	assignedrole		Vaccine Customer Representative	9202	specialist-vaccinecustomer	1	NULL	NULL	3
Vaccine Director	38181	assignedrole		Director Vaccine	2537	director-vaccine	2	NULL	NULL	1
Vaccine Jobs	38182	assignedrole			5115	jobs-vaccine	1	NULL	NULL	602
Vaccine Manager	38183	assignedrole		Vaccine Manager	6599	manager-vaccine	1	NULL	NULL	5
Vaccine Specialist	38184	assignedrole		Vaccine Specialist	9201	specialist-vaccine	1	NULL	NULL	110
Vaccine Supervisor	38185	assignedrole		Vaccine Manager	6599	manager-vaccine	2	NULL	NULL	1
Vaccines	38186	rolemodifier	Try Vaccine.	Vaccine	NULL		10000	NULL	NULL	6996
Vaccines Jobs	38187	assignedrole			5115	jobs-vaccine	2	NULL	NULL	172
Vaccines Solutions Specialist	38188	assignedrole		Vaccines Solutions Specialist	9203	specialist-vaccinesolution	1	NULL	NULL	1
Vacuum	38189	rolemodifier			NULL		10000	NULL	NULL	33830
Vacuum Cleaner	38190	rolemodifier			1055	cleaner	10000	NULL	NULL	201
Vacuum Drier	38191	rolemodifier			2629	drier	10000	NULL	NULL	3
Vacuum Pan	38193	rolemodifier			NULL		10000	NULL	NULL	6
Valet	38194	assignedrole		Valet	10126	valet	1	NULL	NULL	32240
Valet Attendant	38195	assignedrole		Valet Attendant	10126	valet	3	NULL	NULL	937
Valet Parker	38196	assignedrole		Valet Parker	10126	valet	4	NULL	NULL	105
Valet Runner	38197	assignedrole		Valet Runner	10126	valet	5	NULL	NULL	23
Validation	38198	rolemodifier			NULL		10000	NULL	NULL	18811
Validation Analyst	38199	assignedrole		Test Lead	9180	specialist-testing	6	NULL	NULL	164
Validation Architect	38200	assignedrole		Test Engineer	3052	engineer-validation	6	NULL	NULL	6
Validation Assoc	38201	assignedrole		Test Lead	9180	specialist-testing	22	NULL	NULL	4
Validation Associate	38202	assignedrole		Test Lead	9180	specialist-testing	17	NULL	NULL	17
Validation Consultant	38203	assignedrole		Test Lead	9180	specialist-testing	15	NULL	NULL	51
Validation Engineer	38204	assignedrole		Test Engineer	3052	engineer-validation	2	NULL	NULL	8995
Validation Expert	38205	assignedrole		Test Lead	9180	specialist-testing	20	NULL	NULL	10
Validation Intern	38206	assignedrole		Validation Intern	3791	intern-validation	1	NULL	NULL	12
Validation Internship	38207	assignedrole		Validation Intern	3791	intern-validation	2	NULL	NULL	1
Validation Jobs	38208	assignedrole			5116	jobs-validation	1	NULL	NULL	6623
Validation Lead	38209	assignedrole		Test Lead	9180	specialist-testing	16	NULL	NULL	33
Validation Leader	38210	assignedrole		Director Validation	2538	director-validation	2	NULL	NULL	3
Validation Manager	38211	assignedrole		Validation Manager	6600	manager-validation	1	NULL	NULL	128
Validation Scientist	38212	assignedrole		Validation Scientist	8252	scientist-validation	1	NULL	NULL	27
Validation Spec	38213	assignedrole		Test Lead	9180	specialist-testing	21	NULL	NULL	4
Validation Specialist	38214	assignedrole		Test Lead	9180	specialist-testing	5	NULL	NULL	320
Validation Supervisor	38215	assignedrole		Validation Manager	6600	manager-validation	3	NULL	NULL	7
Validation Technician	38216	assignedrole		Test Lead	9180	specialist-testing	10	NULL	NULL	83
Valuation	38217	rolemodifier			NULL		10000	NULL	NULL	23941
Valuation Director	38218	assignedrole		Director of Valuation	2539	director-valuation	2	NULL	NULL	7
Valuation Jobs	38219	assignedrole			5117	jobs-valuation	1	NULL	NULL	1900
Valuation Manager	38220	assignedrole		Valuation Manager	6601	manager-valuation	1	NULL	NULL	46
Valuation Supervisor	38221	assignedrole		Valuation Manager	6601	manager-valuation	3	NULL	NULL	1
Value	38222	rolemodifier			NULL		10000	NULL	NULL	201
Value Analyst	38223	assignedrole		Value Analyst	9204	specialist-value	1	NULL	NULL	3
Value Stream	38225	rolemodifier			NULL		10000	NULL	NULL	30
Value Stream Manager	38226	assignedrole		Value Stream Manager	6602	manager-valuestream	1	NULL	NULL	15
Value Stream Supervisor	38227	assignedrole		Value Stream Manager	6602	manager-valuestream	2	NULL	NULL	3
Valve	38228	rolemodifier			NULL		10000	NULL	NULL	32038
Valve Jobs	38229	assignedrole			5118	jobs-valve	1	NULL	NULL	5762
Valve Technician	38230	assignedrole		Valve Technician	9907	technician-valve	1	NULL	NULL	38
Valver	38231	assignedrole		Valver	10127	valver	1	NULL	NULL	7
Vamp	38232	rolemodifier			NULL		10000	NULL	NULL	100
Vamper	38233	assignedrole		Vamper	10128	vamper	1	NULL	NULL	18
Van	38234	rolemodifier			NULL		10000	NULL	NULL	182
Van Driver	38235	assignedrole		Van Driver	2675	driver-van	1	NULL	NULL	1223
Vaporizer	38237	assignedrole		Vaporizer	10129	vaporizer	1	NULL	NULL	367
Varitypist	38238	rolekeyword			NULL		10000	NULL	NULL	1
Varitypists	38239	rolekeyword		Varitypist	NULL		10000	NULL	NULL	1
Varnish	38240	rolemodifier			NULL		10000	NULL	NULL	110
Varnisher	38242	assignedrole		Varnisher	10130	varnisher	1	NULL	NULL	5
Varying Exceptionalities	38243	rolemodifier			NULL		10000	NULL	NULL	11
Varying Exceptionalities Teacher	38244	assignedrole		Special Education Teacher	9597	teacher-specialedu	5	NULL	NULL	6
Vasc	38245	rolemodifier	Try Vascular.	Vascular	NULL		10000	NULL	NULL	633
Vasc Jobs	38246	assignedrole			5119	jobs-vascular	2	NULL	NULL	20
Vasc Tech	38247	assignedrole		Vascular Technologist	9683	tech-vascular	6	NULL	NULL	4
Vasc Technician	38248	assignedrole		Vascular Technologist	9683	tech-vascular	4	NULL	NULL	8
Vasc Technologist	38249	assignedrole		Vascular Technologist	9683	tech-vascular	7	NULL	NULL	1
Vascular	38250	rolemodifier			NULL		10000	NULL	NULL	43554
Vascular Jobs	38251	assignedrole			5119	jobs-vascular	1	NULL	NULL	3121
Vascular Lab	38252	rolemodifier			NULL		10000	NULL	NULL	73
Vascular Lab Jobs	38253	assignedrole			5119	jobs-vascular	3	NULL	NULL	13
Vascular Manager	38254	assignedrole		Vascular Manager	6604	manager-vascular	1	NULL	NULL	1
Vascular Neurologist	38255	assignedrole		Vascular Neurologist	6841	neurologist-vascular	1	NULL	NULL	29
Vascular Nurse	38256	assignedrole		RN Vascular	8093	rn-vascular	3	NULL	NULL	5
Vascular Sonographer	38257	assignedrole		Cardiac Sonographer	8483	sonographer-cardiac	4	NULL	NULL	183
Vascular Specialists	38258	assignedrole		Vascular Specialists	9205	specialist-vascular	1	NULL	NULL	42
Vascular Supervisor	38259	assignedrole		Vascular Manager	6604	manager-vascular	2	NULL	NULL	1
Vascular Surgeon	38260	assignedrole		Vascular Surgeon	9376	surgeon-vascular	1	NULL	NULL	698
Vascular Tech	38261	assignedrole		Vascular Technologist	9683	tech-vascular	2	NULL	NULL	296
Vascular Technician	38262	assignedrole		Vascular Technologist	9683	tech-vascular	3	NULL	NULL	126
Vascular Technologist	38263	assignedrole		Vascular Technologist	9683	tech-vascular	1	NULL	NULL	875
Vat	38264	rolemodifier			NULL		10000	NULL	NULL	165
Vat House	38265	rolemodifier			NULL		10000	NULL	NULL	3
Vault	38267	rolemodifier			NULL		10000	NULL	NULL	15283
Vault Cashier	38268	assignedrole		Vault Cashier	932	cashier-vault	1	NULL	NULL	7
Vault Jobs	38269	assignedrole			5120	jobs-vault	1	NULL	NULL	801
Vault Manager	38270	assignedrole		Vault Manager	6605	manager-vault	1	NULL	NULL	7
Vault Supervisor	38271	assignedrole		Vault Manager	6605	manager-vault	2	NULL	NULL	7
Vault Teller	38272	assignedrole		Vault Teller	9934	teller	4	NULL	NULL	152
VE	38273	rolemodifier			NULL		10000	NULL	NULL	182
VE Teacher	38274	assignedrole		Special Education Teacher	9597	teacher-specialedu	3	NULL	NULL	7
Vector Control	38275	rolemodifier			NULL		10000	NULL	NULL	44
Vegetable	38277	rolemodifier			NULL		10000	NULL	NULL	1811
Vegetable Cook	38278	assignedrole		Vegetable Cook	1615	cook-vegetable	1	NULL	NULL	7
Vehicle	38280	rolemodifier			NULL		10000	NULL	NULL	21534
Vehicle Mechanic	38282	assignedrole		Automotive Mechanic	6688	mechanic-automotive	1	NULL	NULL	4751
Velvet	38283	rolemodifier			NULL		10000	NULL	NULL	165
Vender	38285	assignedrole		Vender	10131	vender	1	NULL	NULL	325
Vending	38286	rolemodifier			NULL		10000	NULL	NULL	2572
Vending Jobs	38287	assignedrole			5121	jobs-vending	1	NULL	NULL	622
Vending Machine	38288	rolemodifier			NULL		10000	NULL	NULL	220
Vending Manager	38290	assignedrole		Vending Manager	6606	manager-vending	1	NULL	NULL	7
Vending Supervisor	38291	assignedrole		Vending Manager	6606	manager-vending	2	NULL	NULL	3
Vendor	38292	assignedrole		Vendor	10132	vendor	1	NULL	NULL	41486
Vendor Performance Manager	38293	assignedrole		Supplier Quality Manager	6516	manager-supplyquality	4	NULL	NULL	6
Vendor Performance Supervisor	38294	assignedrole		Supplier Quality Manager	6516	manager-supplyquality	7	NULL	NULL	1
Vendor Relations	38295	rolemodifier			NULL		10000	NULL	NULL	210
Veneer	38296	rolemodifier			NULL		10000	NULL	NULL	447
Veneer Jointer	38298	rolemodifier			5173	jointer	10000	NULL	NULL	3
Veneer Stock	38299	rolemodifier			NULL		10000	NULL	NULL	3
Venetian Blind	38300	rolemodifier			NULL		10000	NULL	NULL	27
Venipuncturist	38301	assignedrole		Venipuncturist	10133	venipuncturist	1	NULL	NULL	6
Ventilating	38302	rolemodifier			NULL		10000	NULL	NULL	20
Ventilator	38303	rolemodifier			NULL		10000	NULL	NULL	852
Ventilator Specialist	38304	assignedrole		Ventilator Specialist	9206	specialist-ventilator	1	NULL	NULL	13
Ventriloquist	38305	assignedrole		Ventriloquist	10134	ventriloquist	1	NULL	NULL	149
Venture Capitalist	38306	assignedrole		Venture Capitalist	881	capitalist-venture	1	NULL	NULL	110
Ventures	38307	rolemodifier	Try Venture.	Venture	NULL		10000	NULL	NULL	162
Venue Coordinator	38308	assignedrole		Venue Coordinator	1393	clerk-venue	1	NULL	NULL	6
Venue Manager	38309	assignedrole		Venue Manager	6607	manager-venue	1	NULL	NULL	8
Venue Supervisor	38310	assignedrole		Venue Manager	6607	manager-venue	2	NULL	NULL	3
Verger	38311	assignedrole		Verger	10135	verger	1	NULL	NULL	44
Verif	38312	rolemodifier	Try Verification.	Verification	NULL		10000	NULL	NULL	65
Verification	38314	rolemodifier			NULL		10000	NULL	NULL	7740
Verification Clerk	38315	assignedrole		Verification Clerk	1394	clerk-verification	1	NULL	NULL	13
Verification Coordinator	38316	assignedrole		Verification Clerk	1394	clerk-verification	2	NULL	NULL	10
Verification Engineer	38317	assignedrole		Verification Engineer	3053	engineer-verification	1	NULL	NULL	1622
Verification Lead	38319	assignedrole		Verification Specialist	9207	specialist-verification	4	NULL	NULL	8
Verification Manager	38320	assignedrole		Verification Manager	6608	manager-verification	1	NULL	NULL	20
Verification Rep	38321	assignedrole		Verification Specialist	9207	specialist-verification	3	NULL	NULL	8
Verification Representative	38322	assignedrole		Verification Specialist	9207	specialist-verification	2	NULL	NULL	17
Verification Specialist	38323	assignedrole		Verification Specialist	9207	specialist-verification	1	NULL	NULL	315
Verification Supervisor	38324	assignedrole		Verification Manager	6608	manager-verification	2	NULL	NULL	5
Verifier	38325	rolekeyword			NULL		10000	NULL	NULL	1316
Verifiers	38326	rolekeyword		Verifier	NULL		10000	NULL	NULL	25
Verify	38327	rolemodifier			NULL		10000	NULL	NULL	608
Verify Rep	38329	assignedrole		Verification Specialist	9207	specialist-verification	5	NULL	NULL	3
Vessel	38330	rolemodifier			NULL		10000	NULL	NULL	13282
Vessel Captain	38331	assignedrole		Boat Captain	7274	pilot-boat	9	NULL	NULL	10
Vessel Jobs	38332	assignedrole			5122	jobs-vessel	1	NULL	NULL	471
Vessel Manager	38333	assignedrole		Vessel Manager	6609	manager-vessel	1	NULL	NULL	10
Vessel Mate	38334	assignedrole		Deckhand	8278	seaman	32	NULL	NULL	1
Vessel Specialist	38335	assignedrole		Vessel Specialist	9208	specialist-vessel	1	NULL	NULL	6
Vessel Supervisor	38336	assignedrole		Vessel Manager	6609	manager-vessel	2	NULL	NULL	7
Vest	38337	rolemodifier			NULL		10000	NULL	NULL	182
Vet	38339	ambiguous	Try Veterinary, Veterinarian or Veteran.		NULL		10000	NULL	NULL	201
Vet Assistant	38340	assignedrole		Veterinary Assistant	517	assistant-veterinary	2	NULL	NULL	54
Vet Tech	38342	assignedrole		Veterinary Technician	9908	technician-veterinary	2	NULL	NULL	498
Veteran Service	38343	rolemodifier			NULL		10000	NULL	NULL	14
Veterans Affairs	38345	rolemodifier			NULL		10000	NULL	NULL	2214
Veterans Service	38347	rolemodifier			NULL		10000	NULL	NULL	19
